  7.2500000000000000e+000	  1.0180000000000000e+001	 -1.0354000000000001e+003	 -2.1772700000000000e-001	 -6.9728800000000002e-001	 -1.1781500000000000e-001	  6.7268499999999998e-001	
  2.9300000000000002e+000	  1.1799999999999999e+000	 -1.0340400000000000e+003	 -1.9411800000000001e-001	 -7.0106400000000002e-001	 -9.7808900000000004e-002	  6.7916200000000004e-001	
 -1.1399999999999999e+000	 -8.9000000000000004e+000	 -1.0332900000000000e+003	 -1.7091200000000001e-001	 -7.0545000000000002e-001	 -7.3105199999999995e-002	  6.8394800000000000e-001	
 -7.7400000000000002e+000	 -3.2729999999999997e+001	 -1.0307700000000000e+003	 -1.0910499999999999e-001	 -7.1243400000000001e-001	 -2.5601200000000001e-002	  6.9273300000000004e-001	
 -9.5899999999999999e+000	 -4.4829999999999998e+001	 -1.0293199999999999e+003	 -8.0406699999999998e-002	 -7.1385900000000002e-001	  1.0000800000000000e-004	  6.9565800000000000e-001	
 -1.0490000000000000e+001	 -5.6240000000000002e+001	 -1.0286500000000001e+003	 -5.6603300000000002e-002	 -7.1424100000000001e-001	  2.8101600000000001e-002	  6.9703999999999999e-001	
 -1.0520000000000000e+001	 -6.8150000000000006e+001	 -1.0274600000000000e+003	 -3.0301300000000000e-002	 -7.1363100000000002e-001	  5.5902399999999998e-002	  6.9762999999999997e-001	
 -8.0600000000000005e+000	 -9.0510000000000005e+001	 -1.0254400000000001e+003	  9.0008799999999993e-003	 -7.0957000000000003e-001	  1.1951199999999999e-001	  6.9436799999999999e-001	
 -5.8200000000000003e+000	 -1.0084999999999999e+002	 -1.0246700000000001e+003	  3.1503299999999998e-002	 -7.0707399999999998e-001	  1.4511499999999999e-001	  6.9137199999999999e-001	
 -2.9100000000000001e+000	 -1.1080000000000000e+002	 -1.0236200000000000e+003	  5.4902699999999999e-002	 -7.0343500000000003e-001	  1.6840800000000000e-001	  6.8833400000000000e-001	
